code,date,number 1,number 2,number 3,number 4,number 5,number 6
403,03/03/2020,14,15,31,40,43,49
404,05/03/2020,8,9,34,40,41,54
405,07/03/2020,5,11,21,30,40,48
406,10/03/2020,23,25,30,36,45,52
407,12/03/2020,2,14,19,24,27,34
408,14/03/2020,12,20,25,38,39,40
409,17/03/2020,1,14,18,43,49,50
410,19/03/2020,3,35,41,42,43,49
411,21/03/2020,10,12,14,17,29,53
412,24/03/2020,3,9,20,21,33,52
413,26/03/2020,7,8,11,31,35,36
414,28/03/2020,1,10,11,13,27,55
415,31/03/2020,12,19,40,41,43,53
416,25/04/2020,4,18,24,30,53,55
417,28/04/2020,4,6,10,16,30,46
418,30/04/2020,12,31,32,33,39,41
419,02/05/2020,2,6,9,16,43,53
420,05/05/2020,1,4,13,15,18,20
421,07/05/2020,9,19,28,30,32,54
422,09/05/2020,18,19,30,39,45,46
423,12/05/2020,1,8,25,34,38,44
424,14/05/2020,7,23,29,47,51,55
425,16/05/2020,19,35,38,49,52,55
426,19/05/2020,5,15,16,19,49,55
427,21/05/2020,2,15,22,25,30,46
428,23/05/2020,4,13,27,47,50,55
429,26/05/2020,11,12,23,24,34,47
430,28/05/2020,1,4,8,21,44,49
431,30/05/2020,12,13,41,42,48,53
432,02/06/2020,4,19,31,42,48,55
433,04/06/2020,6,12,16,34,39,54
434,06/06/2020,8,12,24,32,35,51
435,09/06/2020,1,3,8,22,42,48
436,11/06/2020,3,21,25,32,35,52
437,13/06/2020,7,9,11,30,43,53
438,16/06/2020,2,15,16,23,33,54
439,18/06/2020,5,18,27,45,50,54
440,20/06/2020,5,9,33,43,44,50
441,23/06/2020,2,18,28,46,52,54
442,25/06/2020,9,10,12,19,27,40
443,27/06/2020,2,6,38,47,50,53
444,30/06/2020,5,11,18,19,20,21
445,02/07/2020,4,10,20,38,48,53
446,04/07/2020,3,9,10,18,29,45
447,07/07/2020,7,24,32,35,48,50
448,09/07/2020,3,10,11,17,26,54
449,11/07/2020,3,4,6,14,20,38
450,14/07/2020,5,22,32,34,43,51
451,16/07/2020,2,5,11,20,24,32
452,18/07/2020,3,13,22,28,30,53
453,21/07/2020,6,14,31,37,38,44
454,23/07/2020,4,12,31,47,49,52
455,25/07/2020,2,19,21,34,54,55
456,28/07/2020,3,11,20,34,44,54
457,30/07/2020,6,7,16,26,29,54
458,01/08/2020,13,18,29,30,40,47
459,04/08/2020,10,15,20,21,32,51
460,06/08/2020,2,5,21,24,26,27
461,08/08/2020,3,12,24,26,36,43
462,11/08/2020,2,12,33,39,52,53
463,13/08/2020,3,25,28,44,49,54
464,15/08/2020,1,11,29,30,41,51
465,18/08/2020,22,41,44,46,51,52
466,20/08/2020,14,18,28,32,33,36
467,22/08/2020,1,20,24,26,35,51
468,25/08/2020,21,35,36,38,44,47
469,29/08/2020,1,4,14,28,35,53
470,01/09/2020,11,22,24,47,49,53
471,03/09/2020,7,9,18,22,35,54
472,05/09/2020,9,12,19,22,31,46
473,08/09/2020,22,47,48,52,53,55
474,10/09/2020,18,25,27,37,45,50
475,12/09/2020,20,21,24,30,31,44
476,15/09/2020,13,14,15,17,26,53
477,17/09/2020,1,5,28,43,44,53
478,19/09/2020,4,7,8,29,31,41
479,22/09/2020,5,8,15,18,36,45
480,24/09/2020,12,28,41,42,52,53
481,26/09/2020,7,10,13,15,40,48
482,29/09/2020,1,6,7,13,30,55
483,01/10/2020,3,6,7,19,38,54
484,03/10/2020,12,14,22,23,39,44
485,06/10/2020,11,14,29,32,33,40
486,08/10/2020,10,18,20,21,26,51
487,10/10/2020,5,10,47,50,53,54
488,13/10/2020,12,19,28,29,52,53
489,15/10/2020,8,38,41,47,50,52
490,17/10/2020,3,14,25,37,49,54
491,20/10/2020,8,33,38,47,49,54
492,22/10/2020,2,3,12,21,24,38
493,24/10/2020,12,21,22,27,41,50
494,27/10/2020,3,31,33,36,38,39
495,29/10/2020,9,11,14,16,21,23
496,31/10/2020,8,18,19,20,43,54
497,03/11/2020,2,22,27,46,48,52
498,05/11/2020,1,2,6,18,34,51
499,07/11/2020,12,28,30,33,45,52
500,10/11/2020,2,5,19,39,48,53
501,12/11/2020,4,20,22,25,43,47
502,14/11/2020,5,11,15,34,44,48
503,17/11/2020,6,17,27,34,36,51
504,19/11/2020,12,15,23,28,45,48
505,21/11/2020,8,14,19,20,49,51
506,24/11/2020,4,7,19,20,22,53
507,26/11/2020,18,19,29,31,36,52
508,28/11/2020,1,20,36,44,45,49
509,01/12/2020,6,10,12,24,34,43
510,03/12/2020,5,19,32,41,42,45
511,05/12/2020,10,28,29,30,37,38
512,08/12/2020,2,17,32,33,38,45
513,10/12/2020,3,31,34,36,44,54
514,12/12/2020,3,14,32,36,41,46
515,15/12/2020,10,11,13,35,38,49
516,17/12/2020,15,25,27,35,40,48
517,19/12/2020,14,20,32,34,37,49
518,22/12/2020,10,11,16,29,35,38
519,24/12/2020,11,19,34,41,44,48
520,26/12/2020,1,24,33,41,43,51
521,29/12/2020,4,8,11,15,17,41
522,31/12/2020,2,15,25,27,37,51
523,02/01/2021,7,19,23,26,35,45
524,05/01/2021,5,7,9,22,42,54
525,07/01/2021,7,11,22,38,48,51
526,09/01/2021,10,19,24,29,46,48
527,12/01/2021,19,23,29,34,44,53
528,14/01/2021,1,4,42,44,46,50
529,16/01/2021,13,15,28,29,32,44
530,19/01/2021,5,22,25,43,48,53
531,21/01/2021,9,20,22,31,47,52
532,23/01/2021,12,31,39,41,45,55
533,26/01/2021,7,16,32,42,44,47
534,28/01/2021,3,4,16,34,40,55
535,30/01/2021,2,7,17,18,21,29
536,02/02/2021,4,13,31,36,40,54
537,04/02/2021,28,43,44,50,51,53
538,06/02/2021,6,22,32,33,35,53
539,09/02/2021,15,20,21,29,31,41
540,13/02/2021,3,11,14,31,34,42
541,16/02/2021,4,10,11,21,23,44
542,18/02/2021,2,5,10,22,26,47
543,20/02/2021,1,2,4,32,34,39
544,23/02/2021,16,19,21,23,30,48
545,25/02/2021,9,19,32,40,45,51
546,27/02/2021,6,11,24,30,50,52
547,02/03/2021,23,29,45,46,49,51
548,04/03/2021,2,9,21,23,33,41
549,06/03/2021,18,24,34,39,46,55
550,09/03/2021,15,18,29,35,47,54
551,11/03/2021,4,5,12,25,43,44
552,13/03/2021,7,19,20,23,36,55
553,16/03/2021,3,31,45,46,49,54
554,18/03/2021,17,24,38,41,46,54
555,20/03/2021,16,18,20,25,35,36
556,23/03/2021,9,13,17,33,34,53
557,25/03/2021,19,20,24,29,36,39
558,27/03/2021,5,11,17,20,26,37
559,30/03/2021,2,11,17,19,47,51
560,01/04/2021,13,18,24,34,38,54
561,03/04/2021,2,4,34,38,41,55
562,06/04/2021,27,33,34,38,46,48
563,08/04/2021,8,11,16,22,28,30
564,10/04/2021,12,13,16,17,27,47
565,13/04/2021,25,33,39,45,49,55
566,15/04/2021,5,8,27,42,47,51
567,17/04/2021,4,15,16,29,42,46
568,20/04/2021,18,25,38,43,47,51
569,22/04/2021,5,11,17,25,39,48
570,24/04/2021,1,4,5,21,25,44
571,27/04/2021,3,9,22,26,32,37
572,29/04/2021,3,9,23,33,42,44
573,01/05/2021,3,7,14,22,41,42
574,04/05/2021,7,24,45,48,49,53
575,06/05/2021,15,19,24,31,44,53
576,08/05/2021,14,23,26,37,42,51
577,11/05/2021,1,14,41,44,46,53
578,13/05/2021,13,24,25,35,39,41
579,15/05/2021,1,5,6,13,23,27
580,18/05/2021,6,7,22,32,38,47
581,20/05/2021,7,10,12,19,42,54
582,22/05/2021,15,27,37,45,46,52
583,25/05/2021,6,10,33,35,36,43
584,27/05/2021,3,7,18,22,40,46
585,29/05/2021,2,11,31,37,43,55
586,01/06/2021,6,12,14,27,43,45
587,03/06/2021,4,8,21,24,26,47
588,05/06/2021,14,22,25,39,41,52
589,08/06/2021,16,28,33,41,42,54
590,10/06/2021,11,22,24,27,43,54
591,12/06/2021,4,16,17,20,27,44
592,15/06/2021,11,18,21,22,30,55
593,17/06/2021,18,23,38,41,44,55
594,19/06/2021,1,3,7,13,28,45
595,22/06/2021,3,9,32,33,41,43
596,24/06/2021,3,16,17,24,41,44
597,26/06/2021,6,16,17,20,49,52
598,29/06/2021,5,14,24,36,44,55
599,01/07/2021,4,15,28,30,49,52
600,03/07/2021,4,25,30,38,50,55
601,06/07/2021,17,20,22,24,30,54
602,08/07/2021,3,32,34,42,44,54
603,10/07/2021,7,8,17,37,47,48
604,13/07/2021,5,11,18,27,34,43
605,15/07/2021,3,4,12,16,30,50
606,17/07/2021,2,7,11,21,31,42
607,20/07/2021,2,8,11,13,17,26
608,22/07/2021,2,20,24,39,46,53
609,19/08/2021,5,9,12,20,43,51
610,21/08/2021,22,24,27,37,38,48
611,24/08/2021,2,4,7,18,30,35
612,26/08/2021,11,13,20,51,53,55
613,28/08/2021,10,16,26,27,34,48
614,31/08/2021,7,20,37,47,51,53
615,02/09/2021,1,8,12,26,28,45
616,04/09/2021,11,12,32,42,43,51
617,07/09/2021,19,30,35,43,47,55
618,09/09/2021,6,8,10,23,39,44
619,11/09/2021,8,17,20,36,39,44
620,14/09/2021,17,22,30,40,43,44
621,16/09/2021,10,16,40,43,45,46
622,18/09/2021,3,14,15,21,47,52
623,21/09/2021,15,24,25,40,42,50
624,23/09/2021,6,7,21,25,27,49
625,25/09/2021,7,20,27,43,48,51
626,28/09/2021,7,22,25,40,49,50
627,30/09/2021,18,23,26,32,46,49
628,02/10/2021,5,6,22,26,49,51
629,05/10/2021,11,16,17,19,38,43
630,07/10/2021,6,15,21,24,45,55
631,09/10/2021,1,22,25,38,39,54
632,12/10/2021,14,17,31,33,42,50
633,14/10/2021,9,21,24,30,41,44
634,16/10/2021,9,17,22,28,50,55
635,19/10/2021,3,9,25,29,46,50
636,21/10/2021,3,19,32,36,41,51
637,23/10/2021,5,11,19,26,28,33
638,26/10/2021,21,24,29,34,39,53
639,28/10/2021,2,4,6,13,31,35
640,30/10/2021,31,36,40,44,50,53
641,02/11/2021,37,38,42,46,47,55
642,04/11/2021,5,10,15,31,32,50
643,06/11/2021,23,31,41,48,49,51
644,09/11/2021,12,25,26,47,51,53
645,11/11/2021,3,35,37,41,45,49
646,13/11/2021,18,22,29,33,46,48
647,16/11/2021,8,19,27,34,46,51
648,18/11/2021,18,30,32,37,39,40
649,20/11/2021,6,10,29,30,31,51
650,23/11/2021,5,7,9,28,38,55
651,25/11/2021,16,18,24,29,33,41
652,27/11/2021,2,5,7,21,31,37
653,30/11/2021,12,21,23,28,33,46
654,02/12/2021,6,23,28,31,44,48
655,04/12/2021,7,9,31,32,36,49
656,07/12/2021,4,6,22,32,34,53
657,09/12/2021,3,14,33,40,41,50
658,11/12/2021,8,13,17,22,42,51
